index	name	pval	adj_pval	diff	t_statistic	se	df	avg_abundance	n_approx	n_obs
169	F4KH94	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
170	F4KHU8;Q9FIE8;Q8VZC0	5.34E-11	2.94E-09	-2.74302732	-17.7626234	0.154426925	14	24.16010245	13.02063686	13
171	F4KHY7;P48348	0.829672672	0.939859012	-0.304482305	-0.219180572	1.389184737	14	22.24767797	7.001	5
172	F4KIB2;Q8RWW1	0.040641024	0.099656497	-2.820738158	-2.255358919	1.2506826	14	21.86481353	7.001	5
173	F5H5P2;P12694	0.114396928	0.219857611	0.411390548	1.683691193	0.244338481	14	21.11108232	19.04365794	19
174	F8W031;Q9Y2B0	0.036335184	0.090961885	0.27836379	2.314520359	0.120268456	14	24.72044225	21	21
175	G3V325;O75127	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
176	H0YAA0	0.917710233	0.939859012	-0.132114997	-0.10519906	1.25585721	14	21.83827221	8.354306909	8
177	H0YC42	0.030526432	0.079643606	0.186500283	2.405823841	0.07752034	14	26.92860231	21	21
178	H3BN98;Q15041	0.090484375	0.18601194	0.371009409	1.818229314	0.204049845	14	23.4847606	19.9809144	20
179	I3L0E3;Q9Y2R5	0.382688984	0.551348563	0.14679123	0.901267912	0.162871914	14	24.5907957	19.94506518	20
180	iRT-fusion-cRAP;iRT-a-cRAP;iRT-d-cRAP;iRT-k-cRAP;iRT-i-cRAP;iRT-f-cRAP;iRT-e-cRAP;iRT-h-cRAP;iRT-g-cRAP;iRT-c-cRAP;iRT-l-cRAP;iRT-b-cRAP	0.925867445	0.945797047	0.066467053	0.094735565	0.70160613	14	31.57789881	21	21
181	K7EQG2	0.34509941	0.509595561	-0.854808351	-0.977106573	0.874836353	14	22.03541042	12.07034977	12
182	K7ERE1;Q8N2U0	0.917752966	0.939859012	-0.132655756	-0.105144213	1.26165532	14	22.3965752	6.62726239	7
183	L7N2F9;Q15836;P63027	0.158125101	0.282073455	0.206980893	1.491082249	0.138812526	14	23.74539969	17.83129932	18
184	M0QYT0	0.03407661	0.086784892	0.171216842	2.348254413	0.07291239	14	25.58756107	21.00000059	21
185	M0QZD8	0.06906971	0.150116963	0.299546232	1.969035509	0.152128405	14	26.71731387	21	21
186	O00115	0.112633095	0.217693682	-0.432734967	-1.692723758	0.255644174	14	22.37361402	10.9797293	11
187	O00116	7.98E-05	0.000545098	-0.547426507	-5.488829657	0.09973465	14	25.84832626	21	21
188	O00139;Q8N4N8	0.001774396	0.007637256	0.296639131	3.848038331	0.077088403	14	26.53801928	21	21
